FR0000121147;06/04/22;22.65;22.79;21.11;22.15;1928383
FR0000131757;06/04/22;156.70;159.70;150.00;152.70;94641
FR0014000MR3;06/04/22;92.66;95.22;92.38;95.22;707554
FR0010221234;06/04/22;9.895;10.06;9.75;9.765;393215
FR0012789949;06/04/22;0.4925;0.4941;0.492;0.494;1477831
FR0014005DA7;06/04/22;18.90;19.00;18.60;18.60;3726
FR0013451333;06/04/22;35.74;36.02;34.91;35.09;180111
FR0000130452;06/04/22;87.94;88.74;86.64;87.46;332970
FR0000050353;06/04/22;21.50;21.65;20.20;20.75;30521
FR0000033409;06/04/22;86.00;86.00;86.00;86.00;33
FR0011476928;06/04/22;46.42;46.90;45.42;45.72;125250
FR0013176526;06/04/22;16.87;16.95;16.115;16.385;1753309
FR0000044471;06/04/22;21.40;21.40;21.00;21.40;931
FR0010533075;06/04/22;16.25;16.365;15.995;16.27;993243
FR0010040865;06/04/22;110.80;111.60;108.20;109.10;135481
FR0000130809;06/04/22;22.61;22.85;21.51;21.91;7182820
US3696043013;06/04/22;82.20;82.20;81.00;81.30;546
FR0011726835;06/04/22;105.20;106.60;103.80;106.60;112162
FR0000121329;06/04/22;116.90;119.25;116.60;117.45;768076
CH0012214059;06/04/22;43.50;43.50;41.75;42.30;53646
MA0000011488;06/04/22;12.15;12.30;12.15;12.30;140
FR0000035081;06/04/22;58.05;58.95;56.50;57.15;140559
FR0010929125;06/04/22;335.00;335.00;328.00;332.50;1378
FR0010259150;06/04/22;119.10;121.00;117.40;117.40;149990
FR0000073298;06/04/22;44.40;44.40;42.85;43.25;51700
FR0004024222;06/04/22;58.50;58.70;56.10;56.10;19326
FR0000121485;06/04/22;583.60;584.50;553.40;557.10;267029
FR0010386334;06/04/22;19.90;19.92;19.33;19.75;196814
FR0000121964;06/04/22;22.42;22.64;21.73;21.82;1362823
FR0013204336;06/04/22;85.80;85.80;85.00;85.20;242
FR0010307819;06/04/22;84.70;84.88;81.22;82.02;685579
FR0000065484;06/04/22;43.00;43.30;42.60;43.30;18267
FR0000121014;06/04/22;657.60;660.50;630.70;636.20;416787
FR0000121204;06/04/22;91.85;92.25;89.30;89.65;96724
FR0000121261;06/04/22;120.00;121.05;115.80;117.70;552507
FR0000130213;06/04/22;25.38;25.38;25.32;25.36;138078
FR0000053225;06/04/22;17.50;17.69;17.16;17.29;63844
FR0000076986;06/04/22;6350.00;6350.00;6350.00;6350.00;1
US58933Y1055;06/04/22;76.10;78.00;75.80;78.00;305
LU1598757687;06/04/22;28.05;28.465;27.68;28.02;4696516
FR0000038606;06/04/22;24.30;24.55;23.60;23.95;30411
FR0011675362;06/04/22;40.70;41.74;39.34;40.75;222611
FR0000044448;06/04/22;85.00;85.20;81.15;81.60;68743
FR0000120859;06/04/22;38.04;38.10;36.60;36.70;90464
FI0009000681;06/04/22;5.121;5.152;4.9505;4.9565;402742
FR0010112524;06/04/22;30.58;30.72;29.22;29.58;163258
FR0000062234;06/04/22;1136.00;1136.00;1090.00;1110.00;416
FR0000120321;06/04/22;371.20;373.55;364.05;366.40;380261
FR0000133308;06/04/22;10.688;10.852;10.658;10.852;7991039
FR0000184798;06/04/22;36.05;36.20;34.34;35.65;725709
FR0014005HJ9;06/04/22;23.09;23.27;22.47;22.75;96586
FR0000064784;06/04/22;110.20;110.80;105.00;105.80;13915
FR0012882389;06/04/22;88.00;89.00;87.00;88.20;8229
FR0000124570;06/04/22;15.69;16.02;14.89;15.05;266586
FR0000130577;06/04/22;54.90;56.16;54.16;54.62;818004
FR0000039091;06/04/22;890.00;893.00;877.00;878.00;328
FR0000130395;06/04/22;193.90;195.60;189.80;190.50;38195
FR0000121634;06/04/22;120.50;120.50;120.00;120.00;346
FR0000121121;06/04/22;76.50;77.20;75.70;75.85;130052
FR0000120693;06/04/22;201.60;203.50;197.95;199.15;459617
FR0000052516;06/04/22;43.75;43.75;42.75;43.20;10036
FR0000052292;06/04/22;1312.50;1318.50;1276.50;1290.00;70541
FR0000131906;06/04/22;23.095;23.275;21.705;22.12;2453687
FR0000031684;06/04/22;36.45;36.95;35.50;35.60;23640
FR0013269123;06/04/22;26.57;26.60;26.15;26.28;215463
FR0010451203;06/04/22;17.80;18.15;16.965;17.435;1468514
FR0000073272;06/04/22;102.90;104.28;101.10;101.10;844427
FR0000120578;06/04/22;96.40;98.50;96.25;98.38;2522958
FR0010411983;06/04/22;27.81;28.02;27.05;27.29;406159
LU0088087324;06/04/22;8.378;8.508;8.208;8.282;1023938
FR0010282822;06/04/22;93.00;93.00;88.50;91.50;10869
FR0000125007;06/04/22;52.36;52.64;48.915;49.955;2637011
FR0000121709;06/04/22;126.20;126.20;123.60;124.20;75234
AN8068571086;06/04/22;37.40;37.85;36.95;37.40;12743
FR0013199916;06/04/22;143.00;143.00;136.60;136.60;9037
FR0013227113;06/04/22;164.65;165.35;156.50;158.65;87557
FR0000050809;06/04/22;173.50;174.10;167.40;168.60;31157
FR0012757854;06/04/22;20.54;20.80;19.94;20.00;451661
FR0000064271;06/04/22;100.00;100.00;97.00;97.20;2644
NL00150001Q9;06/04/22;14.264;14.32;13.48;13.704;6723905
NL0000226223;06/04/22;36.50;36.75;34.815;35.61;2975606
FR0000121972;06/04/22;153.06;156.00;142.60;144.14;1666931
FR0000121220;06/04/22;65.44;65.90;62.52;64.66;536933
